studyName,"Date GMT",Island,Colony,Adults
PAL9192,1991-10-20,HUM,1.1,24
PAL9192,1991-10-20,HUM,1.2,23
PAL9192,1991-10-20,HUM,1.3,5
PAL9192,1991-10-20,HUM,2.1,94
PAL9192,1991-10-20,HUM,2.2,57
PAL9192,1991-10-23,HUM,1.1,45
PAL9192,1991-10-23,HUM,1.2,60
PAL9192,1991-10-23,HUM,1.3,14
PAL9192,1991-10-23,HUM,2.1,180
PAL9192,1991-10-23,HUM,2.2,100
PAL9192,1991-10-25,HUM,1.1,45
PAL9192,1991-10-25,HUM,1.2,71
PAL9192,1991-10-25,HUM,1.3,22
PAL9192,1991-10-25,HUM,2.1,212
PAL9192,1991-10-25,HUM,2.2,115
PAL9192,1991-10-27,HUM,1.1,54
PAL9192,1991-10-27,HUM,1.2,76
PAL9192,1991-10-27,HUM,1.3,28
PAL9192,1991-10-27,HUM,2.1,247
PAL9192,1991-10-27,HUM,2.2,130
PAL9192,1991-10-29,HUM,1.1,56
PAL9192,1991-10-29,HUM,1.2,81
PAL9192,1991-10-29,HUM,1.3,31
PAL9192,1991-10-29,HUM,2.1,279
PAL9192,1991-10-29,HUM,2.2,131
PAL9192,1991-11-05,HUM,1.1,68
PAL9192,1991-11-05,HUM,1.2,87
PAL9192,1991-11-05,HUM,1.3,41
PAL9192,1991-11-05,HUM,2.1,295
PAL9192,1991-11-05,HUM,2.2,141
PAL9192,1991-11-07,HUM,1.1,70
PAL9192,1991-11-07,HUM,1.2,90
PAL9192,1991-11-07,HUM,1.3,39
PAL9192,1991-11-07,HUM,2.1,297
PAL9192,1991-11-07,HUM,2.2,143
PAL9192,1991-12-03,HUM,1.1,0
PAL9192,1991-12-03,HUM,1.2,0
PAL9192,1991-12-03,HUM,1.3,0
PAL9192,1991-12-03,HUM,2.1,0
PAL9192,1991-12-03,HUM,2.2,0
PAL9192,1992-01-09,HUM,1.1,38
PAL9192,1992-01-09,HUM,1.2,21
PAL9192,1992-01-09,HUM,1.3,21
PAL9192,1992-01-09,HUM,2.1,158
PAL9192,1992-01-09,HUM,2.2,88
PAL9192,1992-01-11,HUM,1.1,36
PAL9192,1992-01-11,HUM,1.2,20
PAL9192,1992-01-11,HUM,1.3,20
PAL9192,1992-01-11,HUM,2.1,164
PAL9192,1992-01-11,HUM,2.2,89
PAL9192,1992-01-13,HUM,1.1,34
PAL9192,1992-01-13,HUM,1.2,18
PAL9192,1992-01-13,HUM,1.3,18
PAL9192,1992-01-13,HUM,2.1,178
PAL9192,1992-01-13,HUM,2.2,97
PAL9192,1992-01-15,HUM,1.1,93
PAL9192,1992-01-15,HUM,1.2,20
PAL9192,1992-01-15,HUM,1.3,20
PAL9192,1992-01-15,HUM,2.1,157
PAL9192,1992-01-15,HUM,2.2,75
PAL9192,1992-01-17,HUM,1.1,30
PAL9192,1992-01-17,HUM,1.2,19
PAL9192,1992-01-17,HUM,1.3,19
PAL9192,1992-01-17,HUM,2.1,153
PAL9192,1992-01-17,HUM,2.2,84
PAL9192,1992-01-19,HUM,1.1,34
PAL9192,1992-01-19,HUM,1.2,17
PAL9192,1992-01-19,HUM,1.3,17
PAL9192,1992-01-19,HUM,2.1,147
PAL9192,1992-01-19,HUM,2.2,74
PAL9192,1992-01-21,HUM,1.1,40
PAL9192,1992-01-21,HUM,1.2,19
PAL9192,1992-01-21,HUM,1.3,19
PAL9192,1992-01-21,HUM,2.1,182
PAL9192,1992-01-21,HUM,2.2,106
PAL9192,1992-01-24,HUM,1.1,17
PAL9192,1992-01-24,HUM,1.2,10
PAL9192,1992-01-24,HUM,1.3,10
PAL9192,1992-01-24,HUM,2.1,91
PAL9192,1992-01-24,HUM,2.2,59
PAL9192,1992-01-26,HUM,1.1,10
PAL9192,1992-01-26,HUM,1.2,7
PAL9192,1992-01-26,HUM,1.3,7
PAL9192,1992-01-26,HUM,2.1,86
PAL9192,1992-01-26,HUM,2.2,35
PAL9192,1992-01-28,HUM,1.1,5
PAL9192,1992-01-28,HUM,1.2,1
PAL9192,1992-01-28,HUM,1.3,1
PAL9192,1992-01-28,HUM,2.1,49
PAL9192,1992-01-28,HUM,2.2,20
PAL9192,1992-01-30,HUM,1.1,7
PAL9192,1992-01-30,HUM,1.2,5
PAL9192,1992-01-30,HUM,1.3,5
PAL9192,1992-01-30,HUM,2.1,49
PAL9192,1992-01-30,HUM,2.2,25
PAL9192,1992-02-03,HUM,1.1,3
PAL9192,1992-02-03,HUM,1.2,3
PAL9192,1992-02-03,HUM,1.3,1
PAL9192,1992-02-03,HUM,2.1,32
PAL9192,1992-02-03,HUM,2.2,26
PAL9192,1992-02-07,HUM,1.1,0
PAL9192,1992-02-07,HUM,1.2,0
PAL9192,1992-02-07,HUM,1.3,0
PAL9192,1992-02-07,HUM,2.1,12
PAL9192,1992-02-07,HUM,2.2,0
PAL9192,1992-02-09,HUM,1.1,0
PAL9192,1992-02-09,HUM,1.2,1
PAL9192,1992-02-09,HUM,1.3,0
PAL9192,1992-02-09,HUM,2.1,2
PAL9192,1992-02-09,HUM,2.2,1
PAL9192,1992-02-11,HUM,1.1,0
PAL9192,1992-02-11,HUM,1.2,0
PAL9192,1992-02-11,HUM,1.3,0
PAL9192,1992-02-11,HUM,2.1,0
PAL9192,1992-02-11,HUM,2.2,0
PAL9192,1992-02-13,HUM,1.1,0
PAL9192,1992-02-13,HUM,1.2,1
PAL9192,1992-02-13,HUM,1.3,0
PAL9192,1992-02-13,HUM,2.1,4
PAL9192,1992-02-13,HUM,2.2,1
PAL9192,1992-02-15,HUM,1.1,0
PAL9192,1992-02-15,HUM,1.2,0
PAL9192,1992-02-15,HUM,1.3,0
PAL9192,1992-02-15,HUM,2.1,1
PAL9192,1992-02-15,HUM,2.2,1
PAL9192,1992-02-17,HUM,1.1,0
PAL9192,1992-02-17,HUM,1.2,0
PAL9192,1992-02-17,HUM,1.3,0
PAL9192,1992-02-17,HUM,2.1,2
PAL9192,1992-02-17,HUM,2.2,6
PAL9192,1992-02-19,HUM,1.1,0
PAL9192,1992-02-19,HUM,1.2,0
PAL9192,1992-02-19,HUM,1.3,0
PAL9192,1992-02-19,HUM,2.1,1
PAL9192,1992-02-19,HUM,2.2,0
PAL9192,1992-02-21,HUM,1.1,0
PAL9192,1992-02-21,HUM,1.2,0
PAL9192,1992-02-21,HUM,1.3,0
PAL9192,1992-02-21,HUM,2.1,1
PAL9192,1992-02-21,HUM,2.2,0
PAL9293,1992-10-13,HUM,1.1,0
PAL9293,1992-10-13,HUM,1.2,4
PAL9293,1992-10-13,HUM,1.3,1
PAL9293,1992-10-13,HUM,2.0,3
PAL9293,1992-10-13,HUM,2.0,6
PAL9293,1992-10-15,HUM,1.1,0
PAL9293,1992-10-15,HUM,1.2,10
PAL9293,1992-10-15,HUM,1.3,0
PAL9293,1992-10-15,HUM,2.0,24
PAL9293,1992-10-15,HUM,2.0,35
PAL9293,1992-10-18,HUM,1.1,85
PAL9293,1992-10-18,HUM,1.2,21
PAL9293,1992-10-18,HUM,1.3,0
PAL9293,1992-10-18,HUM,2.0,85
PAL9293,1992-10-18,HUM,2.0,49
PAL9293,1992-10-19,HUM,1.1,27
PAL9293,1992-10-19,HUM,1.2,27
PAL9293,1992-10-19,HUM,1.3,4
PAL9293,1992-10-19,HUM,2.0,99
PAL9293,1992-10-19,HUM,2.0,55
PAL9293,1992-10-20,HUM,1.1,28
PAL9293,1992-10-20,HUM,1.2,36
PAL9293,1992-10-20,HUM,1.3,1
PAL9293,1992-10-20,HUM,2.0,127
PAL9293,1992-10-20,HUM,2.0,65
PAL9293,1992-10-22,HUM,1.1,41
PAL9293,1992-10-22,HUM,1.2,54
PAL9293,1992-10-22,HUM,1.3,3
PAL9293,1992-10-22,HUM,2.0,103
PAL9293,1992-10-22,HUM,2.0,177
PAL9293,1992-10-24,HUM,1.1,47
PAL9293,1992-10-24,HUM,1.2,68
PAL9293,1992-10-24,HUM,1.3,16
PAL9293,1992-10-24,HUM,2.0,211
PAL9293,1992-10-24,HUM,2.0,116
PAL9293,1992-10-25,HUM,1.1,51
PAL9293,1992-10-25,HUM,1.2,70
PAL9293,1992-10-25,HUM,1.3,16
PAL9293,1992-10-25,HUM,2.0,198
PAL9293,1992-10-25,HUM,2.0,123
PAL9293,1992-10-26,HUM,1.1,50
PAL9293,1992-10-26,HUM,1.2,73
PAL9293,1992-10-26,HUM,1.3,23
PAL9293,1992-10-26,HUM,2.0,126
PAL9293,1992-10-26,HUM,2.0,214
PAL9293,1992-10-27,HUM,1.1,55
PAL9293,1992-10-27,HUM,1.2,78
PAL9293,1992-10-27,HUM,1.3,25
PAL9293,1992-10-27,HUM,2.0,122
PAL9293,1992-10-27,HUM,2.0,222
PAL9293,1992-10-28,HUM,1.1,57
PAL9293,1992-10-28,HUM,1.2,78
PAL9293,1992-10-28,HUM,1.3,26
PAL9293,1992-10-28,HUM,2.0,130
PAL9293,1992-10-28,HUM,2.0,236
PAL9293,1992-10-29,HUM,1.1,61
PAL9293,1992-10-29,HUM,1.2,75
PAL9293,1992-10-29,HUM,1.3,26
PAL9293,1992-10-29,HUM,2.0,133
PAL9293,1992-10-29,HUM,2.0,237
PAL9293,1992-10-30,HUM,1.1,62
PAL9293,1992-10-30,HUM,1.2,78
PAL9293,1992-10-30,HUM,1.3,28
PAL9293,1992-10-30,HUM,2.0,133
PAL9293,1992-10-30,HUM,2.0,240
PAL9293,1992-11-04,HUM,1.1,60
PAL9293,1992-11-04,HUM,1.2,78
PAL9293,1992-11-04,HUM,1.3,27
PAL9293,1992-11-04,HUM,2.0,240
PAL9293,1992-11-04,HUM,2.0,130
PAL9293,1992-11-25,HUM,1.1,28
PAL9293,1992-11-25,HUM,1.2,37
PAL9293,1992-11-25,HUM,1.3,13
PAL9293,1992-11-25,HUM,2.0,133
PAL9293,1992-11-25,HUM,2.0,77
PAL9293,1992-12-04,HUM,1.1,24
PAL9293,1992-12-04,HUM,1.2,31
PAL9293,1992-12-04,HUM,1.3,12
PAL9293,1992-12-04,HUM,2.0,128
PAL9293,1992-12-04,HUM,2.0,70
PAL9293,1992-12-10,HUM,1.1,22
PAL9293,1992-12-10,HUM,1.2,30
PAL9293,1992-12-10,HUM,1.3,8
